LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C60133,CC0402KRX7R9BB103,YAGEO,,0402,50V 10nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,200,0.0009,0.18,,,-
C131394,CC0402KRX7R9BB104,YAGEO,,0402,50V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,200,0.0026,0.52,,,-
C106205,CC0402KRX7R9BB102,YAGEO,,0402,50V 1nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,200,0.0011,0.22,,,-
C281751,CC0402KRX7R9BB101,YAGEO,,0402,50V 100pF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,200,0.0011,0.22,,,-
C106207,CC0402KRX7R9BB471,YAGEO,,0402,50V 470pF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,200,0.0013,0.26,,,-
C106858,CC0603KRX7R8BB105,YAGEO,,0603,25V 1uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,0.0091,0.91,,,-
C559769,CC0603KRX7R9BB105,YAGEO,,0603,50V 1uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,40,0.023,0.92,,,-
C191884,TPS54202DDCR,TI,,SOT-23-6,Buck Adjustable 2A 4.5V~28V SOT-23-6 DC-DC Converters ROHS,YES,15,0.1121,1.68,,,-
C19189893,MT3608B,XI'AN Aerosemi Tech,,SOT-23-6,Boost Adjustable 4A 2.5V~24V SOT-23-6 DC-DC Converters ROHS,YES,10,0.0562,0.56,,,-
C155242,DMN6075S-7,DIODES,,SOT-23,"60V 2.5A 120mΩ@4.5V,2.8A 700mW 3V@250uA 1 N-Channel SOT-23 MOSFETs ROHS",YES,5,0.0769,0.38,,,-
C347491,SI2308A,UMW,,SOT-23,60V 3A 1.25W 3V@250uA 1 N-Channel SOT-23 MOSFETs ROHS,YES,20,0.0385,0.77,,,-
