LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C1713,CL21A106KOQNNNE,Samsung Electro-Mechanics,,0805,16V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,0.0088,0.88,,,-
C1591,CL10B104KB8NNNC,Samsung Electro-Mechanics,,0603,50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,200,0.0025,0.50,,,-
C15849,CL10A105KB8NNNC,Samsung Electro-Mechanics,,0603,50V 1uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,200,0.0057,1.14,,,-
C23198,0603WAF5232T5E,UNI-ROYAL(Uniroyal Elec),,0603,100mW Thick Film Resistor 75V ±100ppm/℃ ±1% 52.3kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,100,0.001,0.10,,,-
C78162,SX1308,SX(Shenzhen Suosemi Tech),,SOT-23-6,Boost Adjustable 2A 2V~24V SOT-23-6 DC-DC Converters ROHS,YES,5,0.134,0.67,,,-
C5148689,XC6206P252MR,HXY MOSFET,,SOT-23,"40dB@(1kHz) 300mA Fixed 2.5V Positive 8V SOT-23 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",YES,20,0.021,0.42,,,-
C96493,HNB09A05,Jiangsu Huaneng Elec,,"Through Hole,D=9mm","85dB Active Buzzer (Built-in Driving Circuit) Electromagnetic 3kHz Through Hole,D=9mm Buzzers ROHS",YES,5,0.2125,1.06,,,-
C15195,CL05B103KB5NNNC,Samsung Electro-Mechanics,,0402,50V 10nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,0.0011,0.11,,,-
C96123,CL31A476MPHNNNE,Samsung Electro-Mechanics,,1206,10V 47uF X5R ±20% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,20,0.0822,1.64,,,-
C15850,CL21A106KAYNNNE,Samsung Electro-Mechanics,,0805,25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,50,0.0113,0.57,,,-
