LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Date Code / Lot No.,Status
C60133,CC0402KRX7R9BB103,YAGEO,,0402,50V 10nF X7R ±10% 0402 Ceramic Capacitors RoHS,YES,200,0.0009,0.18,,,-
C131394,CC0402KRX7R9BB104,YAGEO,,0402,50V 100nF X7R ±10% 0402 Ceramic Capacitors RoHS,YES,200,0.0026,0.52,,,-
C106205,CC0402KRX7R9BB102,YAGEO,,0402,50V 1nF X7R ±10% 0402 Ceramic Capacitors RoHS,YES,200,0.0011,0.22,,,-
C281751,CC0402KRX7R9BB101,YAGEO,,0402,50V 100pF X7R ±10% 0402 Ceramic Capacitors RoHS,YES,200,0.0011,0.22,,,-
C106207,CC0402KRX7R9BB471,YAGEO,,0402,50V 470pF X7R ±10% 0402 Ceramic Capacitors RoHS,YES,200,0.0013,0.26,,,-
C106858,CC0603KRX7R8BB105,YAGEO,,0603,25V 1uF X7R ±10% 0603 Ceramic Capacitors RoHS,YES,100,0.0091,0.91,,,-
C559769,CC0603KRX7R9BB105,YAGEO,,0603,50V 1uF X7R ±10% 0603 Ceramic Capacitors RoHS,YES,40,0.023,0.92,,,-
C191884,TPS54202DDCR,TI,,SOT-23-6,500kHz 2A Buck Adjustable 1 SOT-23-6 Voltage Regulators - DC DC Switching Regulators RoHS,YES,15,0.1121,1.68,,,-
C19189893,MT3608B,XI'AN Aerosemi Tech,,SOT-23-6,4A 1.2MHz Boost Adjustable 1 SOT-23-6 Voltage Regulators - DC DC Switching Regulators RoHS,YES,10,0.0562,0.56,,,-
C155242,DMN6075S-7,DIODES,,SOT-23,"60V 2.5A 700mW 1 N-Channel SOT-23 Single FETs, MOSFETs RoHS",YES,5,0.0769,0.38,,,-
C347491,SI2308A,UMW,,SOT-23,"60V 3A 1.25W 1 N-Channel SOT-23 Single FETs, MOSFETs RoHS",YES,20,0.0385,0.77,,,-
C19078229,MX74610T,Wuxi Maxinmicro,,SOT-23-6L,"480mV 9.4uA 60V 160mA SOT-23-6L OR Controllers, Ideal Diodes RoHS",YES,10,0.3858,3.86,,,-
C5120872,CKCS4020-10uH/M,CENKER,,"SMD,4x4mm","900mA 10uH ±20% Magnetic Shielded Inductor 1.6A 165mΩ SMD,4x4mm Fixed Inductors RoHS",YES,20,0.0444,0.89,,,-
C25764,0402WGF2003TCE,UNI-ROYAL,,0402,62.5mW 200kΩ 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,200,0.0006,0.12,,,-
C60491,RC0402FR-07100KL,YAGEO,,0402,100kΩ 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,200,0.0006,0.12,,,-
C25900,0402WGF4701TCE,UNI-ROYAL,,0402,4.7kΩ 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,200,0.0006,0.12,,,-
C60490,RC0402FR-0710KL,YAGEO,,0402,62.5mW 10kΩ 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,300,0.0006,0.18,,,-
C106235,RC0402FR-071KL,YAGEO,,0402,1kΩ 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,300,0.0006,0.18,,,-
